Date,Adj Close,Close,High,Low,Open,Volume
2024-02-21 00:00:00+00:00,0.16970866760768402,0.16944634578276366,0.17457884900608683,0.2200159624998151,0.23725274116692147,4.202038559057791
2024-02-22 00:00:00+00:00,0.17296726244447908,0.17273869034926653,0.17773474756572594,0.22106638881548332,0.23671881739360232,4.152067006315574
2024-02-23 00:00:00+00:00,0.1744286692962673,0.17416868601420007,0.17658601911680555,0.22021347732289936,0.23787729609883618,4.168007543644978
2024-02-26 00:00:00+00:00,0.17541320546156475,0.17514568537234323,0.17964590617490486,0.22153427200970102,0.23915967835402643,4.174611699378901
2024-02-27 00:00:00+00:00,0.17714960324746637,0.17689788283014857,0.180791248694903,0.2203786758650662,0.23964121312919215,4.217440588645375
2024-02-28 00:00:00+00:00,0.17457620681465025,0.1743329633789879,0.177068594344861,0.21028120179796653,0.2329409535150373,3.980978735417624
2024-02-29 00:00:00+00:00,0.1742719571246023,0.17403142924107495,0.1760281677999652,0.2102607459875583,0.23336229191824237,4.876546608495514
2024-03-01 00:00:00+00:00,0.1453788564093795,0.14499342112919628,0.1475498784625149,0.19214123904817348,0.2211168277948494,5.027936127594483
2024-03-04 00:00:00+00:00,0.15229518127792313,0.15182729460848665,0.14887598363396629,0.19228002455277396,0.21986878856095507,5.022660860888048
2024-03-05 00:00:00+00:00,0.16300802428316624,0.16247788302650645,0.15336828738881092,0.1916009561914955,0.22814342825730471,5.022611318128405
2024-03-06 00:00:00+00:00,0.15970669240633745,0.1591365136305345,0.15217191902360425,0.1880334879934319,0.22242386656912944,5.008290501384213
2024-03-07 00:00:00+00:00,0.16009775323827535,0.1595354214782127,0.15050780427590363,0.1870862205455875,0.22242329400026536,4.965823909438996
2024-03-08 00:00:00+00:00,0.16560590514148874,0.16508889858703618,0.1630536454856028,0.1882412256290791,0.22244389285298957,4.967764688229923
2024-03-11 00:00:00+00:00,0.17124755275763748,0.17079265623260947,0.16427026988033755,0.19929336194970307,0.23663691211954696,4.979525481851612
2024-03-12 00:00:00+00:00,0.17222595438988986,0.17178736876211112,0.1618041485729051,0.19772591010525564,0.23588522180664656,4.977799036520044
2024-03-13 00:00:00+00:00,0.16756356805550748,0.1671288500765413,0.16181963202793945,0.19641595796399522,0.23582240188452055,4.969164341219468
2024-03-14 00:00:00+00:00,0.16478338898738706,0.16440954709713776,0.15087408074833447,0.19433857099493476,0.23027452898219472,5.060666822393649
2024-03-15 00:00:00+00:00,0.15824184478963604,0.15781638412460872,0.15229026527513698,0.1957093634822129,0.22768991640919295,5.251831806138486
2024-03-18 00:00:00+00:00,0.16008620379656044,0.1596929098293754,0.17757283684516476,0.19300250402621844,0.23303169827340256,5.274284319251614
2024-03-19 00:00:00+00:00,0.16282912206207545,0.16245081382625084,0.17431163709589625,0.15754473693753931,0.18861267384829258,5.233631044394296
2024-03-20 00:00:00+00:00,0.1671267276457716,0.1667715746164568,0.17879347543062016,0.16152567916873906,0.19050592943534442,5.0472144027535855
2024-03-21 00:00:00+00:00,0.20284737709942166,0.2024776684382266,0.17612637373435336,0.1699236216893466,0.18113935963270444,5.392723256840554
2024-03-22 00:00:00+00:00,0.20420435217868796,0.20385716903991305,0.18767156907523547,0.1696649678882777,0.19811622151418787,5.469243287537245
2024-03-25 00:00:00+00:00,0.20367131726534807,0.2036714082668648,0.18720248130728945,0.16847525293216079,0.1983992505212466,5.5264127416400255
2024-03-26 00:00:00+00:00,0.20321314320774206,0.20321321929611216,0.186883978783538,0.16866046680274202,0.19829578681519497,5.522345866823196
2024-03-27 00:00:00+00:00,0.21339279189877536,0.2133928623202378,0.1898822699037622,0.16384357423891602,0.19630700022315184,5.454455975899881
2024-03-28 00:00:00+00:00,0.21467214616536526,0.21467222202518116,0.1905412254875774,0.16412210724021095,0.19874809662737158,5.458596893231112
2024-04-01 00:00:00+00:00,0.2153826963522325,0.21538278536028016,0.1905535623923991,0.16413539147800665,0.19763716803963846,5.527904113675834
2024-04-02 00:00:00+00:00,0.21508201483994036,0.21508211045010442,0.19170966408218057,0.16433457219436834,0.19970177836543476,5.474644013182699
2024-04-03 00:00:00+00:00,0.21606663150087743,0.21606669195407252,0.1916352381166606,0.16361219444475,0.19884405160423171,5.470506706396732
2024-04-04 00:00:00+00:00,0.2153167998797407,0.21531685529451017,0.19313182254996122,0.1630451837914189,0.20134412362247173,5.427959334145269
2024-04-05 00:00:00+00:00,0.21245989300252974,0.21245990697251416,0.18987322951106905,0.15922142088297717,0.19885404123400005,5.433803630787293
2024-04-08 00:00:00+00:00,0.21167237839871986,0.21167235028612025,0.1900192843491706,0.15924120214837767,0.19613810113568625,5.42760732429875
2024-04-09 00:00:00+00:00,0.21305404094021935,0.21305403712613688,0.1892816668449672,0.15846242068765903,0.19277729432513893,5.433364283897259
2024-04-10 00:00:00+00:00,0.2123091428101441,0.21230910478878431,0.1876865309778703,0.15878192304647726,0.19265891009929945,5.388184356529377
2024-04-11 00:00:00+00:00,0.24899088123485377,0.2489907312323639,0.2201425337566335,0.15997300818352056,0.19026419185063126,5.658133569975711
2024-04-12 00:00:00+00:00,0.25045913934940855,0.2504589832938934,0.2260320181270946,0.19354118445618496,0.2182166287614651,4.800327442592698
2024-04-15 00:00:00+00:00,0.25761391680567597,0.25761372358943574,0.22547348603318784,0.1925592507089662,0.21785723203831717,4.542087959672524
2024-04-16 00:00:00+00:00,0.2530023984153556,0.2530022294932675,0.22277868042248525,0.19678956806212375,0.21913877463910025,4.531490986057726
2024-04-17 00:00:00+00:00,0.24006564861657007,0.2400654641010141,0.21399761641015594,0.18411401503575497,0.20289848032233812,4.6268623949624175
2024-04-18 00:00:00+00:00,0.2400334653934815,0.24003325558319663,0.21628073564571662,0.18510121587203426,0.20450645239892265,4.5571555804594155
2024-04-19 00:00:00+00:00,0.24249101686239158,0.24249083090599527,0.21938652649529872,0.18982725843521914,0.2043560098681222,4.752616525704297
2024-04-22 00:00:00+00:00,0.24092775564024163,0.24092760300227153,0.21343491397694692,0.19012736970894784,0.2046181189859464,4.849414203016205
2024-04-23 00:00:00+00:00,0.23895097717464014,0.23895082274188548,0.21287269893162974,0.18145565928366544,0.19184492291833438,4.8054117686199564
2024-04-24 00:00:00+00:00,0.24204046298798132,0.2420402706628582,0.21713912344502137,0.1828068768601087,0.19334720301199537,4.8057528630008965
2024-04-25 00:00:00+00:00,0.24016661954317992,0.2401663998234657,0.2182130361309718,0.18637586561203637,0.20106643629567159,4.793583970736663
2024-04-26 00:00:00+00:00,0.23798891095153338,0.23798870725701726,0.21770157264208073,0.18588860649423505,0.20117717257939907,4.7007356695344695
2024-04-29 00:00:00+00:00,0.24888310590266657,0.2488829410869804,0.22995816661229004,0.19544737903864126,0.20789459542026226,4.616855857742859
2024-04-30 00:00:00+00:00,0.25385409799943237,0.2538539202850623,0.21421791609818838,0.19474419370958504,0.19396500582312137,4.410206847143878
2024-05-01 00:00:00+00:00,0.2506895691478772,0.25068944696459067,0.21673351088294224,0.19510199209722198,0.20291842893676162,4.384461439191468
2024-05-02 00:00:00+00:00,0.25547597488208,0.25547577884489336,0.21409777211616546,0.19437506124537612,0.2081086072035977,4.746331737664031
2024-05-03 00:00:00+00:00,0.28007790280168376,0.2800779365578942,0.30711035326971914,0.26449965556012317,0.3098975328809073,4.592549872386398
2024-05-06 00:00:00+00:00,0.2818395647357976,0.2818396059215788,0.3006281879241943,0.267178817512597,0.3041904746934408,4.938650114175183
2024-05-07 00:00:00+00:00,0.2802459097541364,0.28024592513419827,0.29957004840758655,0.26678199233235456,0.3031963445378554,4.870972706958234
2024-05-08 00:00:00+00:00,0.27898552490534223,0.27898555214857396,0.30132961276153664,0.26678447184218446,0.3031845963734799,5.123592543667044
2024-05-09 00:00:00+00:00,0.2744162091722089,0.27441623642471197,0.30034813438738805,0.26680295342118937,0.3034080344176724,5.127907439325687
2024-05-10 00:00:00+00:00,0.2731328302718608,0.2735547242735072,0.29885345516602047,0.26687627086927806,0.3045164694482955,5.122084038830268
2024-05-13 00:00:00+00:00,0.2746540212151728,0.2751106190806489,0.29879196238735145,0.267664841728592,0.304033242964607,5.118019345013991
2024-05-14 00:00:00+00:00,0.2730894831456573,0.27356762514833555,0.29588148714960993,0.2664237273440515,0.30153239828132483,5.205305614654639
2024-05-15 00:00:00+00:00,0.27421455443567144,0.27470126902078584,0.29674714849579614,0.26648032295339097,0.3011656328228414,5.2726404289102815
2024-05-16 00:00:00+00:00,0.2731597039255912,0.27365625070344174,0.29657682163168486,0.2675567222765008,0.30218221461007333,5.332632686851229
2024-05-17 00:00:00+00:00,0.27337464184570986,0.27386458881634,0.29464016190384795,0.26806132424113716,0.3024051169613283,5.333593942971849
2024-05-20 00:00:00+00:00,0.27161651182543,0.2721281298488051,0.29290090994700674,0.2673753977040423,0.30200722992401735,5.325945387393565
2024-05-21 00:00:00+00:00,0.27158235038465606,0.272093475549429,0.29288597280418727,0.2677775217588486,0.3019046907905099,5.315598686732483
2024-05-22 00:00:00+00:00,0.26998754272737574,0.2705069970818666,0.29158154798742525,0.26652594541302355,0.3017649549624273,5.324294446247109
2024-05-23 00:00:00+00:00,0.2547011481266789,0.25515385702760873,0.2771779450586485,0.2750839169078669,0.30280101050470565,5.138345099367839
2024-05-24 00:00:00+00:00,0.25741281779570047,0.2578727458001205,0.27449693301450556,0.2583847078772056,0.2918543374041788,5.205312636922753
2024-05-28 00:00:00+00:00,0.24680795821980892,0.24732285052624764,0.2736843456091737,0.25580642548356586,0.2935826319937581,5.255260401719948
2024-05-29 00:00:00+00:00,0.23744491384010005,0.23801453953738716,0.26835862089650964,0.24181314503674814,0.28759003975887404,5.255671555380575
2024-05-30 00:00:00+00:00,0.23466875137814294,0.23526749599466293,0.26087502176591687,0.24128874379681073,0.2837155326262189,5.147214597126513
2024-05-31 00:00:00+00:00,0.23270682379284624,0.2333287006225648,0.2566334642632371,0.23943112014098158,0.2809192908028121,5.255135025445765
2024-06-03 00:00:00+00:00,0.2273249224050497,0.2279984820454842,0.25195366456344565,0.2336569404930658,0.27729164685795643,5.228323073031045
2024-06-04 00:00:00+00:00,0.22759057833685237,0.2282574580342253,0.25216914697572607,0.23376542826472596,0.27614740306083835,5.134898166450158
2024-06-05 00:00:00+00:00,0.22768397993676756,0.22835302672451843,0.251550721887027,0.23369496125140216,0.27551918308883805,5.148632295956068
2024-06-06 00:00:00+00:00,0.2294114028382678,0.23004173602976669,0.2513112407773478,0.23507837822740466,0.27572438585498266,5.210497177350267
2024-06-07 00:00:00+00:00,0.23046530702697657,0.2311049532686256,0.2512928573140807,0.23475731188063875,0.27481803194436066,5.262950690185881
2024-06-10 00:00:00+00:00,0.23989891330086643,0.2404875467656206,0.25143604951441784,0.23874192521147897,0.27541814570542966,5.530163784185072
2024-06-11 00:00:00+00:00,0.3015863814150117,0.3021140949835425,0.27501385563373026,0.23239222749966648,0.27827088958400104,5.641603986251086
2024-06-12 00:00:00+00:00,0.29907476648975184,0.29966797917013543,0.3163740504286426,0.28602678186064695,0.33523635404330016,5.646700428248842
2024-06-13 00:00:00+00:00,0.296381621695439,0.29699544753875856,0.3179923770910448,0.28736796189507563,0.33464982101959645,5.983560787821625
2024-06-14 00:00:00+00:00,0.29690649053581003,0.29747967634499367,0.3207845480050897,0.2883540626564552,0.335216794566184,5.785016666122583
2024-06-17 00:00:00+00:00,0.25752026379048154,0.25812202538885637,0.24983531405090692,0.22652580854874083,0.25819678384506833,5.613362923604674
2024-06-18 00:00:00+00:00,0.2585213418841051,0.25911787544918746,0.2432278709698088,0.2207868501870262,0.2478322779115885,5.212833591685876
2024-06-20 00:00:00+00:00,0.2703503338467221,0.27088385395266346,0.2546217374628346,0.23257358666211625,0.2565270084328883,5.21698606537741
2024-06-21 00:00:00+00:00,0.273825972979185,0.27433504659594077,0.2551896185527054,0.23540202868278995,0.26319991236545703,5.783140860213596
2024-06-24 00:00:00+00:00,0.27330893701778136,0.2738091661619589,0.254952757529048,0.23625067903822028,0.2674744353823632,6.705967680810698
2024-06-25 00:00:00+00:00,0.2713243862282745,0.2713243029033056,0.2568458010674577,0.23644719248848708,0.2664047483776286,6.790496823207761
2024-06-26 00:00:00+00:00,0.27236853023991336,0.27236848258461316,0.25853207812830853,0.2354184262221988,0.26715762218655953,6.727191510248892
2024-06-27 00:00:00+00:00,0.2723271830551989,0.2723271364973891,0.2584803591490737,0.23527699881649417,0.26823628280649586,6.714369159100337
2024-06-28 00:00:00+00:00,0.27780823793110954,0.2778081519014519,0.25752359915235973,0.2387204993258856,0.2681440754559011,6.822126134799692
2024-07-01 00:00:00+00:00,0.2870530960297085,0.28705298627897025,0.2575606760383421,0.23771893370474162,0.27398806127447217,6.831988608088899
2024-07-02 00:00:00+00:00,0.2887138030324654,0.2887136974670359,0.2581700154903887,0.2391103194665648,0.27624114486111273,6.792022495472011
2024-07-03 00:00:00+00:00,0.2887030481254104,0.2887029415629413,0.2581571928366529,0.24186157083306695,0.27837374447058366,6.913533121544006
2024-07-05 00:00:00+00:00,0.292589528807832,0.29258942605508326,0.2628496147667369,0.24225896114487294,0.2781853465615873,7.053657622098615
2024-07-08 00:00:00+00:00,0.28999145481486643,0.2899913459210869,0.26244360938751254,0.24101577310751968,0.2837550459349029,7.026084735892746
2024-07-09 00:00:00+00:00,0.27845046864856565,0.27845039712037184,0.258544282496966,0.23049320112000557,0.28143376983359,6.965452554773751
2024-07-10 00:00:00+00:00,0.2791815597585578,0.2791814904170304,0.258817044462552,0.23117962770804654,0.27663320383830753,6.930640528528705
2024-07-11 00:00:00+00:00,0.2921672075151783,0.29216713515818576,0.2596652716468041,0.23974386468213083,0.2758002926512781,6.852646433244189
2024-07-12 00:00:00+00:00,0.2925280802282882,0.2925280100363936,0.25838460604561936,0.24028357503887102,0.2761992579883647,6.8784645427174125
2024-07-15 00:00:00+00:00,0.2939886712184809,0.29398859309136555,0.26031749824123857,0.2431392923606841,0.2864487764613748,6.892479080736742
2024-07-16 00:00:00+00:00,0.2943043454036204,0.2943042666234036,0.2619230548211082,0.24294961238492246,0.288931876162672,6.86842926785181
